TEMA DE PETICION;
Traslado DP 004 de 2018 suscrito por Leonel Alfredo Nieto Suarez ;
;
Respuesta Radicado 2017-12996;
CON OFICIO 0808 DEL 26 DE FEBRERO 2018,  REMITE LA SOLICITUD  DE VIGILANCIA ESPACIAL AL PROCESO EJECUTIVO No.666-2015, de JESUS ERNESTO BENAVIDES CONTRA ERMENZA PIRAZAN.;
RADICADO PERSONERIA 2018-10-1343 (0260) DEL 09/03/2018 RADICADO IBAL 6382 DEL 20 DE MARZO DE 2018, CONTESTADO POR JAIME CANO CON ACTO ADMISTRATIVO 430-6813-1 DEL 09 DE ABRIL DE 2018;
RESPUESTA OFICIO V.A.G.P 578 DE 05/04/2018 - RADICADO 2018-10-966 - RADICADO SAC2018PQR9133 DE 13/04/2018;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 12 al 16 febrero 2018;
CON OFICIO No. 396   DE FEBRERO 1 DE 2018, SE REMITE  QUEJA  DEL SE&Ntilde;OR ALBERT F. MAURICIO RONDO MEDINA CONTRA EL SE&Ntilde;OR HERIBERTO RODRIGUEZ COMISARIO SEGUNDO DE FAMILIA DE IBAGUE., POR PRESUNTO PROCEDIMIENTO IRREGULAR DENTRO DEL PROCESO 083-2;
VPW-50-RS 956 SOLICITUD DE ACOMPA&Ntilde;AMIENTO JORNADA DE NOTIFICACIONES EN NUEVA CASTILLA ;
RESPUESTA RADICADO 2018-14368;
Informa apertura de investigacion a Mario Fernando Diaz, Luz Stella Gomez, Carlos alberto Hoyos;
;
Solicitud registro de veeduria;
RESPUESTA A EXPEDIENTE DISCIPLINARIO 1555 DE 2017;
EN RESPUESTA AL RAD N. 00524-18 (0113) RAD EN ESTA EMPRESA CON EL NÂ°. 3517SE ENV&Iacute;A ACTO ADMINISTRATIVO 430-03865 DEL 26/02/2018 EN EL CUAL NO SE ACCEDE A MODIFICAR  LOS PERIODOS DICIEMBRE/2017 A FEBRERO/2018 POR NO TENER SERVICO  ;
RESPUESTA OFICIOV.A.G.P-OFIC 440 DE 09/03/2018, REF: RADICADO 2018-10-1318, RADICADO SAC2018PQR6936 DE 20/03/2018;
Informe semanal de resoluciones expedidas por el curador urbano No. 2 en la semana del 5 al 9 de feb de 2018;
respuesta al radicado SAP elevado por el senor MIRO IGNACIO HERNANDEZ - respuesta proyectada por la Dra Andrea Torres Oficina Atencion al Cliente y PQR. ;
;
 OFICIO 156 Notificacion proceso Homologacion  de ICBF contra MARIA VICTORIA RAMIREZ YAIMA ;
;
;
RESPUESTA RADICACION 2018-14270;
RESPUESTA RADICADO 2018-14045;
Comedidamente solicito la colaboracion para poder conseguir una cita con expecialista en ORTOPEDIA Y TRAUMATOLOGIA para control con radiografias de rodillas y otros examenes, soy funcionaria Publica y pertenezco a la EPS SALUD TOTAL, ;
OFICIO DIRIGIDO A LA INSTITUCI&Oacute;N EDUCATIVA COLEGIO DE SAN SIM&Oacute;N SOLICITUD DE CUPO DEL MENOR LOINER ARMANDO MAYORA VERGARA, POR SER POBLACI&Oacute;N VENEZOLANA   ;
RESPUESTA RADICADO 2018-15775 DILIGENCIA 566-18 (146);
;
RESPUESTA OFICIO V.G.A.P OF 425 - PETICI&Oacute;N 2018-10-1172 , RADICADO SAC2018PQR7789 DE 02/04/2018;
DILIGENCIA 2018-10-1510 (0277) DEL 16-03-2018 - SOLICITUD DE INTERVENCION REALIZADA POR EL SE&Ntilde;OR JAMES GALVIS CAICEDO RADICADO IBAL 6702 DEL 23 DE MARZO DE 2018;
APERTURA INVESTIGACION AL SE&Ntilde;OR JAIME ROMERO QUIJANO;
En respuesta  a su rad  NÂ°. 00445-18(0086)  se envia copia del acto administrativo 430-03315 de 16/02/2018  para los fines pertinentes ;
respuesta radicado 450 de 2018- recusacion deportes tolima;
Reciba un cordial saludo por parte de los integrantes del Grupo de Proteccion a la Infancia y Adolescencia METIB, deseandole exitos en su valiosa labor, la presente es con el fin de solicitar a su despacho tenga a bien asignar un Grup;
Rta Oficio V.A.G.P. OF-739 Y 740  Expediente Disciplinario 1594 y 1595/2017;
;
Requerimos de manera respetuosa ser registrados como colectivo juvenil.

ACTA DE CONSTITUCI&Oacute;N COLECTIVO JUVENIL 
(Colectivo Sin Carpa)

En la ciudad de Ibague, siendo las 04:20 p.m. del dia jueves 30 del ano 2017, se reunieron ;
OFICIO NO 2968 DEL 13 DIC 2017 JUZGADO 5TO MUNICIPAL DE IBAGUE RAD 73001-40-23-005-2016-00387-00;
;
cualquier informacion;
;
RESPUESTA A EXPEDIENTE 1577/2017(2018-10-8440093) ;
SOLICITUD ASISTENCIA DELEGADOS PERSONERO MUNICIPAL;
;
se da respuesta al requerimiento del Doctor DIEGO MAURICIO SANCHEZ ESCOBAR a traves del oficio personeria 00057-18 (0010) del 15 de enero de 2018;
Rta Oficio V.G.A.P  OF-646 Expediente Disciplinario 1613/2018;
RESPUESTA EXPEDIENTE 1588 - 2017;
;
Oficio como respuesta a solicitud con numero interno de radicado 2018-21862 del 2 de marzo de 2018.;
QUE ME HAGA LLEGAR A QUIEN CORRESPONDA EN CIMITARRA - SANTANDER  ESTE OFICIO E 
INTERVENGAN ANTE ESTOS ENTES PARA LOGRAR ASI RECIBIR RESPUESTA CONCRETAS DE TODOS 
LOS DERECHOS DE PETICION Y SE ME INFORME MAS AFONDO ACERCA  DEL PROCESO LLEVADO 
EN MI CONTR;
copia de oficio para salvador castellon gimenez ;
RESPUESTA DE TRAMITE D-04 DE 2018 ;
Rta Oficio V.,G.A.P OF-742 Expediente Disciplinario 1596/2017;
ijij;
Respuesta oficio de 28 de diciembre de 2018 - radicacion 2017-10-2245  - radicado SAC2017PQR2195 DE 30/01/2017DERECHO DE PETICI&Oacute;N DE HEBER BARRAGAN;
Respuesta oficio del 01/02/2018 radicado 276-2018 (70), radicado SAC2018PQR3037 de 06/02/2018 matricula menor Julian David Oyola;
;
;
traslado denuncia nÂ° 007 de 2018 ;
respuesta seguimiento Plan anticorrupcion ;
RESPUESTA AL EXPEDIENTE DISCIPLINARIO 1525/16 ;
RESPUESTA RADICADO 2018-14304;
;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 16 al 20 de abril 2018;
;
Respuesta oficio de 27 de diciembre de 2017- radicacion 2017-2294  informando que se ordeno visita a la I:Enino jesus de praga;
con oficio 407 del 1 de febrero del ano en curso, da traslado de copia comunicacion dirigida el doctor DANIIEL SOTO, Director de Justicia y Orden Publico,, el pasado 18 de diciembre de 2017, por la doctora LEIDY CATHERINE PARRA REINA, quien ;
acta de atencion de MARIA SUBDELIA MENDOZA MORA;
Buenas Tardes, Dios y Patria
Reciba un cordial saludo por parte de Policia de Infancia y Adolescencia de la Metropolitana de Ibague, de manera respetuosa me permito solicitar acompanamiento para registro preventivo en el Instituto Polit&eacu;
RESPUESTA RADICADO 2018-15769 DILIGENCIA 526-18 (144);
;
CON OFICIO 384 DEL 31 DE ENERO DE 2018, DA TRASLADO  DE LA COPIA DEL DERECHO DE PETICI&Oacute;N DE DICIEMBRE 14 DE 2017, DIRIGIDO AL INSPECTOR SEGUNDO URBANO DE POLIC&Iacute;A-BARRIO LA POLA POR PARTE DEL SE&Ntilde;OR EFRAIN PRECIADO HERNANDEZ;
;
Respuesta oficio del 29/ de 2017 radicacion 2017-10-2311 , radicado SAC2018PQR2198 DE 30/01/2018PETICI&Oacute;N RECTORA JOAQUIN PARIS;
;
CON OFICIO 386 DEL 31 DE ENERO DE 2018, SE DA TRASLADO DE COPIA DEL DERECHO DE PETICI&Oacute;N DE NOVIEMBRE 29 DE 2017,   DIRIGIDO A LA OFICINA DE PETICIONES, QUEJAS Y RECLAMOS  DEL IBAL S.A. ESP OFICIAL  POR PARTE DE LA SE&Ntilde;ORA DILMA  Y. MORA Y OTR;
;
Respuesta Oficio  No. 10339 de noviembre 10 de 2017, documentos austeridad del gasto;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague, en el periodo del 12 al 16 de marzo de 2018;
RESPUESTA RADICADO 2018-10-552;
RESPUESTA RADICADO 2018-18146;
ENVI&Oacute; DEL MEMORANDO 008770 DEL 23 DE FEBRERO DE 208, POR MEDIO DEL CUAL LA DRA. LILIANA CAROLINA MORENO VARGAS RECEPCIONA EL CARGO DE DIRECTORA DE LA OFICINA DE RENTAS. ;
;
RESPUESTA OFICIO DEL 28/02/2018, CUMPLIMIENTO ACUERDO MUNICIPAL 034 DE 06/12/2008 , RADICADO SAC2018PQR5987 DE 07/03/2018;
CON OFICIO 674 DEL 16 DE FEBRERO DEL A&Ntilde;O EN CURSO,, SE ENV&Iacute;A ESCRITO SUSCRITO POR EL SE&Ntilde;OR FERNANDO YAIMA, CALENDADO EL 10 DE ENERO DE 2018, DIRIGIDO  AL PROCURADOR GENERAL DE LA NACI&Oacute;N Y OTRAS ENTIDADES. LO ANTERIOR PARA QUE S;
CON OFICIO 814 DEL 27 DE FEBRERO DE 2018, SE DA TRASLADO DE QUEJA DEL SE&Ntilde;OR RUBEN DARIO GONZALEZ GUTIERREZ, CONTRA LA SE&Ntilde;ORA EMILSE BARBOSA, FUNCIONARIA DE LA GESTORA URBANA, POR PRESUNTAMENTE NEGAR  DERECHOS AL DENUNCIANTE.;
RESPUESTA SU OFICIO CODIGO 1513023568-U7 11-12-2017, TEMA IMPLEMENTACION BA&Ntilde;OS PUBLICOS EN IBAGUE RADICADO INTERNO GESTORA RE-03350  12-12-2017, SALIDA RS-108;
RESPUESTA OFICIO DE 4 DE ABRIL DE 2018 -RADICADO SAC2018PQR8247 DE 04/04/2018 - RADICADO SALIDA 2018RE3781 DE 11/04/2018;
;
INFORMANDO SITUACI&Oacute;N PERMANENTE CENTRAL IBAGUE;
CON OFICIO 310 DEL 25 DE ENERO DE 2018, SE REMITE POR COMPETENCIA QUEJA DEL SE&Ntilde;OR HENRY AUGUSTO SAENZ TOVAR  CONTRA LA SECRETARIA DE GOBIERNO Y DEMAS ENTIDADES DEL NIVEL MUNICIPAL.;
ACTA DE ATENCI&Oacute;N DE LA SE&Ntilde;ORA MARTA LUCIA QUINTERO CASTA&Ntilde;EDA;
TRASLADO DP-033-034-035-036 Y 037 DE 2018;
RESRESPUESTA OFICIO V.A.G.P-628 DE 09/04/2018, RADICADO SAC2018PQR9030 DE 12/04/2018;
solicitud acompanamiento vierne 30 de marzo 08:am barrio jordan 8 etapa estacion de policia centro;
;
RESPUESTA OFICIO V.A.G.P 671 DE 11/04/2018, RADICADO SAC2018PQR9429 DE 17/04/2018;
;
CON OFICIO 0538 DEL 12 DE FEBRERO E 2018, SE REMITE FOTOCOPIAS TOMADAS DEL EXPEDIENTE IUC-D-2017-1033811, PARA QUE SE INVESTIGUE LA CONDUCTA EN QUE HAYA PODIDO INCURRIR LA DOCTOR MIRYAM CAROLINA MOSOS PATI&Ntilde;O EN SU CONDICI&Oacute;N DE  DIRECTORA ADM;
CT â€“ SSS â€“ 020 â€“ RAYM

Ibague, 30 de Enero de 2018


Senores:
PERSONERIA MUNICIPAL
Dir.: Calle 9 #21 â€“ Palacio Municipal  
Ciudad


Asunto: REITERACION QUEJA POR INCUMPLIMIENTO LEY 1850 DE 2017 / LEY 1361 DE 2009 ;
;
CON OFICIO NO. 673 DEL 16 DE FEBRERO DE 2018 ME PERMITO ENVIARLE  COPIA DE A QUEJA DIRIGIDA A VARIAS ENTIDADES, POR LA SE&Ntilde;ORA  KAROL DAYANA LOPEZ ARTEAGA, EN LA QUE DA CUENTA DE INCUMPLIMIENTO DE UN CONTRATO POR PARTE DE LA SE&Ntilde;ORA SOFIA CORT;
Traslado DP-026 de 2018;
CON OFICIO 839 DEL 27 DE FEBRERO DE 2018, SE REMITE COPIA DE LA DENUNCIA  A.D.V...201800025293   DE LA SE&Ntilde;ORA YURY ESTEFANIA CARMONA ALC&Aacute;NTARA, CONTRA LA COMISARIA SEGUNDA DE FAMILIA DE IBAGUE, DOCTORA IRMA BASTO REYES.;
;
;
Ibague, 20 de enero del 2018


Carlos Alberto Hoyos Melo
Secretaria de Gobierno â€“ Espacio Publico.
Ciudad



Asunto: Incumplimiento Acuerdo. 



De conformidad con el acuerdo realizado por parte de la secretaria de gobierno en direcci;
;
SOLICITUD DE INFORMACI&Oacute;N.;
Respuesta a radicado IBAL No. 8412 del 18-04-2018;
;
RESPUESTA A RE-0074 CON EL RS- 115 DEL 15 DE ENERO DE 2018 - DOCUMENTOS PROYECTO VIVIENDA NUEVA CASTILLA -EXPEDIENTE DISCIPLINARIO 1566 DEL 2017;
Rerspuesta oficio de 15/02/2018 - Veeduria 450-2018, radicado SACPQR4804 de 26/02/2018;
551-0229
Ibague, 24 de enero del 2018


Doctor 
DIEGO MAURICIO SANCHEZ ESCOBAR
PROFESIONAL UNIVERSITARIO
Personeria Delegada para Servicios publicos 
Control Urbano y Medio Ambiente de Ibague
Calle 9 No. 2-59 oficina 116
Ciudad;
;
PROCESO DISCIPLINARIO 1439-2017;
incorporacion queja a proceso 52 17 de Hernan Silva;
Denuncia- Resolucion administrativa 279 del 26 de diciembre de 2017;
RESPUESTA A OFICIO V.A.G.P 437 - RADICACI&Oacute;N 2018-10-1270, RADICACI&Oacute;N SAC2018PQR6939 DE 20/03/2018;
RESPUESTA  A OFICIOS 8597 DE AGOSTO 31 Y 10464 DE NOVIEMBRE 17 DE 2017 EXPEDIENTE 1515-2016. Queja del senor JAVIER RICARDO SIERRA GUZMAN.;
Traslado DP 001 DE 2018 SUSCRITO POR EL SE&Ntilde;OR GUILLERMO RODRIGUES;
;
Respuesta oficio con numero de radicado 2018-17722;
Se envia respuesta del rad 7334 del 05/04/2018  con  numero de diligencia 2018-10-1860 (0316);
CON OFICIO No. 699 del 19 DE FEBRERO 19 DE 2018, SE DA TRASLADO DE COPIA DE ESCRITO DIRIGIDO POR EL SE&Ntilde;OR MICHEL VARGAS Y OTRO, AL DR. MARCO EMILIO HINCAPI&Eacute;, SECRETARIO DE GOBIERNO DEL MUNICIPIO DE IBAGU&Eacute;, PARA QUE ADELANTE LAS GESTIO;
Informe de avances Acuerdos Municipales a cargo de la SAGyAJ 4Â° Trimestre 2017 - Radicado 126705 26 de Dic 2017 ;
;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 02 al 06 de abril de 2018
;
;
CON OFICIO No.817 DEL 27 DE FEBRERO DE 2018, DA TRASLADO DEL OFICIO 035-2018 DE FEBRERO 15 DE 2018, SUSCRITO POR EL SE&Ntilde;OR LAMBERTO GARC&Iacute;A RECTOR DE LA I.E. JOSE JOAQUIN FLOREZ HERNANDEZ, QUIEN INFORMA QUE SE HA SOLICITADO EN REITERADAS  OPOR;
felicitaciones a la personeria municipal de bague por su politica cero papel ;
DILIGENCIA No. 00224-18 (0050), el cual se contesto con el acto administrativo 430-03813 del 26 de Febrero de 2018, el cual se le contesto a la personeria y al usuario con el acto administrativo 430-03842 del 26 de febrero de 2018. ;
RESPUESTA OFICIO DE 20/03/2018 - REF: RADICADO 2018-10-1460, RADICADO SAC 2018PQR7212 DE 21/03/2018;
RESPUESTA OFICIO DE 02/04/2018 - RADICADO 2018-10-1552  - RADICADO SAC2018PQR9130 DE 13/04/2018;
RESPUESTA OFICIO DE 26 DE DICIEMBRE DE 2017 - REMISI&Oacute;N ESCRITO nO 2017-1586 DEL 26 DE DICIEMBRE DE 2017 Y RADICADO SAC 2017PQR1150 DE 19 DE ENERO DE 2018;
Solicitud Registro de veeduria;
;
;
SEGUIMIENTO OFICIO COMFATOLIMA, RADICADO SAC2018PQR4426 DE 20/02/2018,CASO REINTEGRO DEL MENOR ADRIAN GILDARDO RODRIGUEZ;
Con oficio No. 5778 del 21/12/17 se remite por competencia ,solicitud de cambio de radicacion - Comisaria de Familia- realizada por la senora ANA LUCIA VARGAS GAITAN y otros ante la Direccion del Grupo de Justicia y Orden P&uac;
Respuesta oficio de 2 /02/2018 VA.GP-80, Radicacion 2017-1586, 2018PQR3370 DE 08/02/2018 CASO Brayan Andrey Arenas;
RESPUESTA RADICADO 2018-15772 DILIGENCIA 520-18 (147);
REMISION POR COMPETENCIA RCR No. 7149 - 2017 E - 2017 - 882115 TRASLADO DEL SE&Ntilde;OR MIGUEL RUEDA MOTTA;
;
mi descripcion, expediente de prueba;
RESPUESTA OFICIO V.G.A.P 543 DE 03/04/2018, RADICADO SAC2018PQR9031 DE 12/04/2018;
RESPUESTA OFICIO DILIGENCIA -RADICADO 594-18 (165 ) DE 21/02/2018, RADICADO SAC2018PQR4703 DE 22/02/2018;
NOTIFICACION   AUTO  ENERO 31  DE 2018 PROCESO DE HOMOLOGACION DE I.C.B.F.   - MENOR DE EDAD MARIA VICTORIA RAMIREZ YAIMA  RADICADO 2018-0009;
SOLICITUD INTERVENCION ANTE LA FISCALIA TERCERA LOCAL DE IBAGUE;
ESPUESTA OFICIO V.A.G.P - 236 DE 15/02/2018 -REF:RADICACI&Oacute;N 3346/2017, RADICADO SAC2018PQR4910 DE 26/02/2018;
