Asunto;Radicado;Serie Documental;Sub-Serie documental;
SOLICITUD DE PAGO DE INCENTIVO AL SER INTEGRANTE DE LA MESA MUNICIPAL DE VICTIMAS DEL MUNICIPIO DE IBAGUE PERIODO DEL 2021 AL 2023-USUARIO DE LA VEREDA APARCO HACIENDA DANUBIO LOTE VILLA ALEJANDRA-PETICION DEL SE&NtildeOR NESTOR DRIO SAAVEDRA GUERRERO ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
NOTIFICACI&OacuteN CASO PRESUNTA NEGLIGENCIA Y ABANDONO PACIENTE SOLEM CARVAJAL GIRALDO DE 71 A&NtildeOS-TRABAJO SOCIAL CLINICA LA NUESTRA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO POR COMEPTENCIA-REMISION DEL EXPEDIENTE DEL CASO DOCENTE VICTOR HUGO VILLANUEVA POR POSIBLE ACOSO SEXUAL A MENOR DE EDAD DE LA IE LICEO NACIONAL -SECRETARIA DE EDUCACION ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO POR COMPETENCIA-REMISION  DEL EXPEDIENTE DEL CASO DOCENTE ISIDRO FUENTES ARIAS  POR  POSIBLE ACOSO SEXUAL A MENOR DE EDAD  DE LA IE LICEO NACIONAL-SECRETARIA DE EDUCACION ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
INVITACION MESA TRABAJO ELECCIONES JUECES DE PAZ PARA EL 11 ENERO DE 2023 EN LA SALA DE JUNTAS DE LA DIRECCION DE JUSTICIA -PETICION DEL SE&NtildeOR HENRY ARVEY TORRES PINILLA SECRETARIA DE GOBIERNO-DIRECCION DE JUSTICIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO REGISTRADURIA ESPECIAL DE IBAGUE-TOLIMA-NOTIFICACI&OacuteN RESOLUCI&OacuteN 36131- 29 DE DICIEMBRE DE 2022 MEDIANTE EL CUAL AUTORIZA LA INSCRIPCION DEL REGISTRO CIVIL DE NACIMIENTO A NOMBRE DE JAIRO CELIS DE GARCIA-DIRECCION NACIONA DE REGISTRO CIVIL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COMUNICACI&OacuteN DE LA RESOLUCI&OacuteN 8013 DEL 29 DE NOVIEMBRE DEL 2022. EXP: 2129-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD ACTA DE LIQUIDACION Y TERMINACION CONTRATO PMI-SAMC-002-2020- TODO TINTAS Y SUMINSITROS INVERSIONES Y TECNOLOGIA JC SAS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO POR COMPETENCIA - REMISION DEL EXPEDIENTE DEL CASO DOCENTE ARMANDO AFANADOR POR POSIBLE ABUSO SEXUAL A MENOR DE EDAD DE LA IE CUIDAD IBAGUE-SECRETARIA DE EDUCACION MUNICIPAL  ;;PROCESOS;PROCESO DISCIPLINARIO;
COPIA DE OFICIO A SECRETARIA DE GOBIERNO -REITERACI&OacuteN PETICI&OacuteN DE INFORMACI&OacuteN Y DOCUMENTOS DE PROCESOS ADMINISTRATIVOS POR LOS CUALES EL MUNICIPIO DE IBAGU&EacuteOTORG&Oacute AUTORIZACI&OacuteN DE EJECUCI&OacuteN DE DIFERENTES ESPECT&AacuteCULOS P&UacuteBLICOS-SAYCO ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
SOLICITUD DE RECONOCIMIENTO DE VEEDURIA CIUDADANA PARA LA VIGILANCIA DEL SUMINISTRO Y LA PRESTACION DE LOS SERVICIOS PUBLICOS PRIORIDAD DE ACUEDUCTOS Y ALCANTARILLADO-URBANIZACION ALMINAR SAMOA Y SECTOR EL TRIUNFO-PETICION DE LA SE&NtildeORA MAGALY LEYTON MEDINA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE RECONOCIMIENTO DE VEEDURIA RED DE UNION DE VEEDURIAS POR EL AGUA DE IBAGUE (UVA)-PETICION DEL SE&NtildeOR EUSEBIO ALVAREZ PEDREROS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
NOTIFICACI&OacuteN DECISI&OacuteN TUTELA 2022-00264ACCIONANTE : VICTOR ALFONSO CASTILLO RUBIO ACCIONADO : ALCALDIA DE IBAGU? Y OTROS. DONDE VINCULAN A LA PERSONERIA-JUZGADO CUARTO PENAL MUNICIPAL DE IBAGUE ;;TUTELAS;TUTELAS;
 COPIA DE OFICIO A SECRETARIA DE EDUCACION-SOLICITUD DE CORRECCION ERROR DE LA PLATAFORMA HUMANO EN LINEA-PETICION DE LA SE&NtildeORA SANDRA MERCEDES OLAYA RINCON ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
SOLICITUD DE ATENCION POR PSIQUIATRIA Y SER VINCULADO EN UNA UNIDAD MENTAL TENIENDO EN CUENTA SU TRANSTORNO Y VULNERACION DE DERECHOS DEL SE&NtildeOR JAIME VEGA VELA-SECRETARIA DE DESARROLLO SOCIAL COMUNITARIO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA SOLICITUD INFORMACION VOLCAN MACHIN-RADICADO INTERNO NO. 20222600097792 A TRAV&EacuteS DE LA CUAL SOLICITA QUE POR PARTE DEL SERVICIO GEOL&OacuteGICO SE REMITA LA INFORMACI&OacuteN M&AacuteS RECIENTE DEL MONITOREO DEL VOLC&AacuteN MACH&IacuteN Y DEM&AacuteS SOPORTES RELEVANTES PARA EL CONOCIMIENTO DE LA COMUNIDAD IBAGUERE&NtildeA-SERVICIO GEOLOGICO COLOMBIANO ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
SOLICITUD DE INTERVENCION ANTE COIBA-SOLICITUD CON TR&AacuteMITE URGENTE AL PRIVADO DE LIBERTAD CARLOS JULI&AacuteN MESA PEDRAZA PARA QUE LA SE&NtildeORA BLANCA ZAIRA PEDRAZA QUIEN ES SU MADRE LO VEA ANTES DE QUE LO LLEVEN AL QUIROFONO-FLOR MUNERA FUNDACION COMITE DE SOLIDARIDAD CON LOS PRESOS POLITICOS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
NOTIFICACION CASO PRESUNTA NEGLIGENCIA Y ABANDONO FAMILIAR PACIENTE MIGUEL ANTONIO MARTINEZ SENDALES DE 83 A&NtildeOS-CLINICA LA NUESTRA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A INSPECTORA PRIMERA DE POLICIA BARIO LA POLA-SOLICITUD DE PROTECCION DE DERECHOS FUNDAMENTALES A DOS ADULTOS MAYORES EM SU JURISDICCOPM DEL BARRIO LA POLA-PETICION DEL SE&NtildeOR HERNANDO HELI RODRIGUEZ VELANDIA ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
COMUNICACION RESOLUCION EXP:PAF 8743-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
URGENTE NOTIFICA AUTO ADMISORIO DE ACCI&OacuteN DE TUTELA RAD. 2023-00002 GILBERTO PEDRAZA ROA EN REPRESENTACI&OacuteN DEL CIUDADANO OSNEIDER JAVIER RAMOS VASQUEZ EN CONTRA DE SEGUROS MUNDIAL SA-JUZGADO CATORCE PENAL MUNICIPAL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INFORME MENSUAL DE LICENCIAS OTORGADAS-CURADURIA URBANA 2 ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE INTERVENCION ANTE EL IBAL -PROBLEMATICA DEL BARRIO TOPACIO PLAN C POR OBRA DE CAMBIO DE ALCANTARILLADO SIN TERMINAR AFECTANDO LA CASA 11 DE LA MNZ 35 PROPIEDAD DE LA SE&NtildeORA YUDY ARANGUREN-PETICION DE LA PRESIDENTA DE JUNTA NORA ARDILA ROMERO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE ACOMPA&NtildeAMIENTO PARA ELIMINACION DE MATERIAL ELECTORAL 2018-REGISTRADURIA NACIONAL ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
COPIA DE OFICIO A JUZGADO PRIMERO PENAL MUNICIPAL CON FUNCIONES DE CONOCIMIENTO-ACCION DE TUTELA 2021-00012-00-INCIDENTE DE DESACATO ACCIONATE:RAFAEL EDUARDO BORRERO BLANCO ACCIONADO:ARL SURA-PETICION DEL SE&NtildeOR RAFAEL EDUARDO BORRERO BLANCO ;;TUTELAS;TUTELAS;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA- ACLARATORIO SUELDO DE DICIEMBRE M&IacuteNIMO VITAL-PETICION DEL SE&NtildeOR JUAN ARIEL ZARTA ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
COPIA DE OFICIO A JUZGADO QUINCE PENAL MUNICIPAL CON FUNCIONES DE CONOCIMIENTO- ACCION DE TUTELA promovida por la se&ntildeora ANA MILENA S&AacuteNCHEZQUI&NtildeONEZ contra la ADMINISTRACI&OacuteN CONJUNTO RESIDENCIAL IGUA RAD.73001-40-09-015-2023-00005-00.-PETICION DEL SE&NtildeOR CRISTIAN FARLEY ESCOBAR GUZMAN ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE INTERVENCION ANTE LA SECRETARIA DE MOVILIDAD TRANSITO Y TRANSPORTE -POSIBLES IRREGULARIDADES EN EL TRAMITE DE TRASPASO DEL VEHICULO DE PLACA IGX037-PETICION DE LA SE&NtildeORA ROSALIA VALDERRAMA DIAZ ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
COPIA DE OFICIO A COLPENSIONES-RECURSO DE REPOSICI&OacuteN Y EN SUBSIDIO EL DE APELACI&OacuteN ANTE LA RESOLUCI&OacuteN SUB349912 DEL 22 DIC. 2022 PROFERIDA POR LA ADMINISTRADORA COLOMBIANA DE PENSIONES � COLPENSIONES POR MEDIO DE LA CUAL SE NIEGA EL RECONOCIMIENTO DE LA PENSI&OacuteN DE SOBREVIVIENTES A MI REPRESENTADA ANA PAZ CALDERON DE RIVERA-PETICION DE EL ASPODERADO ANTONIO RODRIGUEZ ROMERO ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
NOTICIA: DENUNCIA QUE EXPONE EL PRESUNTO ARBORICIDIO QUE SE HABR&IacuteA LLEVADO A CABO DENTRO DE UN CONJUNTO RESIDENCIAL YURUPARI EN IBAGU&Eacute. LOS HECHOS AL PARECER OCURRIERON CON EL AVAL DE CORTOLIMA Y ANTE LA PRESENCIA DE UNIFORMADOS DE LA POLIC&IacuteA METROPOLITANA.-ECOS DEL COMBEIMA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO ARL SURA-SOLICITUD DE REEMBOLSO DE LA CITA DE HIDROTERAPIA-PETICION DEL SE&NtildeOR RAFAEL BORRERO BLANCO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INFORME DE ACTIVIDADES DESARROLLADAS DISTRITO UNO DE POLIC&IacuteA IBAGU&Eacute DEL 26 DE DICIEMBRE AL 02 DE ENERO DE 2023-POLICIA NACIONAL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ANTE COIBA PICALE&NtildeA-SOLICITUD CAMBIO DE FASE  DEBIDO A QUE LE NIEGAN EL BENEFICIO DE LIBERTAD CONDICIONAL PETICION DE LA PPL NUBIA LILIANA HOYOS GIRALDO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INFORMACION ACERCA DE ELECCIONES DE JUECES DE PAZ PARA EL MES DE MAYO -EDWIN BELTRAN ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
PROBLEMATICA ALCANTARILLADO BARRIO JARDIN ACACIAS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A LA SECRETARIA DE EDUCACION SOLICITUD DE INTERVENCI&OacuteN DE LA PROCURADUR&IacuteA- SOLICITUD DE PAGO DE PENSI&OacuteN DE SOBREVIVIENTE EN CALIDAD DE HIJOS ESTUDIANTES. OSA JULIANA MONTOYA COGOLLO-PETICION DE ABOGADA DE GRUPO JURIDICO PLATA ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
SOLICITUD DE INFORMACION PRIORITARIA PARA REALIZAR EVALUACION DE RIESGO DE EL SE&NtildeOR CARLOS GILBERTO RAMIREZ-UNIDA NACIONAL DE PROTECCION ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A LA FISCALIA-DENUNCIA CONTRA DESCONOCIDO POR VARIOS POSIBLES DELITOS A LA MENOR MICHELLE ANDREA D&IacuteAZ BULLA.-FUNDACION COMITE DE SOLIDARIDAD CON LOS PRESOS POLITICOS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ANTE SECRETARIA DE MOVILIDAD-SOLICITUD DE RESPUESTA A PETICION REALIZADA EL 20 DE OCTUBRE-PETICION DEL SE&NtildeOR JHON GAVIRIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INVITACION MESA DE TRABAJO TEMA: PROTECCI&OacuteN DE DERECHOS Y VIGILANCIA A LA RUTA DE MIGRANTES A NIVEL NACIONAL  EN LA CIUDAD DE BUCARAMANGA EN 12 Y 13 DE ENERO DE 2023-PETICION DE LA PERSONERIA DE BUCARAMANGA ;;COMUNICACIONES;COMUNICACION EXTERNA;
RESPUESTA 17979 DE FECHA 23 DE NOVIEMBRE DE 2022 VISITA TECNICA EN LA PARTE ALTA EN LAS MNZ DF Y E-IBAL  ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
NOTIFICACION DE AUTO ADMISORIO-PROCESO: ACCI&OacuteN DE TUTELA RADICACI&OacuteN: 73001-40-09-014-2023-00001-00 ACCIONANTE: LUIS CARLOS VEGA BENAVIDES ACCIONADO: MEDICADIZ SAS-JUZGADO CATORCE PENAL MUNICIPAL ;;TUTELAS;TUTELAS;
SENTENCIA 1O INSTANCIA ACCIONANTE: DRAFRANCY JOHANA ARDILA SALAZAR AGENCIADA: MARIA LENIS CRUZ OSPINA ACCIONADA: SANITAS EPS RADICACION NRO. 73001-40-88 005-2022-00264-JUZGADO QUINTO PENAL MUNICIPAL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD INFORMACION SOBRE LIDERES JUVENEL DE LA CIUDAD DE IBAGUE -POLICIA NACIONAL-DIRECCION DE PROTECCION Y SERVICIOS ESPECIALES ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DENUNCIA CONTRA EL IBAL :HACE DOS MESES SE VIENE PRESENTANDO PROBLEMA DE ALCANTARILLADO DEL BARRIO JARDIN ACACIAS EN LAS MANZANAS 14 Y 15-LA VOZ MAYOR DE DEL TOLIMA  - EL ASUNTO SE TRAMITA EN LA DILIGENCIA 2023-10-53 (0003);;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A EMCOSALUD TOLI-HUILA QUEJA POR EL MALTRATO REITERATIVO AL PROGRAMAR EN DOS OPORTUNIDADES UNA CIRUGIA -PETICION DE LA SE&NtildeORA GLORIA LOZANO ROCHA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DENUNCIA CONTRA CEMEX:GRAVE CONTAMINACION EN PAYANDE Y PARTE DEL MUNICIPIO DE SAN LUIS SOLICITUD DE INTERVENCION DE CORTOLIMA-LA VOZ MAYOR DEL TOLIMA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD PARA LLEVAR A CABO REUNI&OacuteN CON 5 REPRESENTANTES DEL GRUPO DE PERSONAS QUE PRETEND&IacuteA INVADIR EL PREDIO UBICADO DEBAJO DE LAS TORRES DE ENERG&IacuteA (ALTA TENSI&OacuteN) 172 - 173 SECTOR MODELIA COMUNA 7 DURANTE ESTE FIN DE SEMANA.-PARA EL DIA MARTES 10 DE ENERO  EN LA ALCALDIA MUNICIPAL-SECRETARIA DE GOBIERNO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD CONVOCATORIA DE REUNI&OacuteN Y COORDINACI&OacuteN APLICACI&OacuteN LEY 1801 ANTE LA POSIBLE INVASION QUE SE PRESENTO EN EL BARRIO MODELIA-PARA EL DIA 10 DE ENERO DE 2023 A LAS 3:00 P.M-POLICIA METROPOLITANA DE IBAGUE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
